Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
bzr1-1D,25,1,4,0.005,0.45,0.52,1.87,1.35,0.455,45.5,,
bzr1-1D,25,1,5,0.02,0.36,0.58,1.59,1.01,0.38,38,,
bzr1-1D,25,2,1,0.004,0.485,0.4,1.39,0.99,0.489,48.9,,
bzr1-1D,25,3,1,0.055,0.4,0.63,2.36,1.73,0.455,45.5,,
bzr1-1D,25,3,2,0.021,0.425,0.51,2.21,1.7,0.446,44.6,,
bzr1-1D,25,3,3,0.05,0.4,0.51,1.91,1.4,0.45,45,,
bzr1-1D,25,3,5,0.01,0.409,0.54,2.26,1.72,0.419,41.9,,
bzr1-1D,25,3,6,0.005,0.585,0.62,1.82,1.2,0.59,59,0.561363636,
Columbia,25,2,1,0.04,0.4,0.54,1.8,1.26,0.44,44,,
Columbia,25,2,2,0.04,0.405,0.56,1.73,1.17,0.445,44.5,,
Columbia,25,2,3,0.01,0.39,0.5,1.65,1.15,0.4,40,,
Columbia,25,2,5,0.035,0.5,0.63,2.48,0.95,0.535,53.5,,
Columbia,25,2,6,0.03,0.36,0.55,1.76,1.21,0.39,39,,
Columbia,25,1,1,0.01,0.46,0.68,2.48,1.8,0.47,47,,
Columbia,25,1,2,0.017,0.42,0.68,2.41,1.73,0.437,43.7,,
Columbia,25,1,3,0.03,0.471,0.68,2.22,1.54,0.501,50.1,,
Columbia,25,1,4,0.025,0.535,0.725,2.24,1.515,0.56,56,,
Columbia,25,2,1,0.015,0.485,0.585,1.93,1.345,0.5,50,,
Columbia,25,2,2,0.017,0.46,0.56,1.65,1.09,0.477,47.7,,
Columbia,25,2,3,0.015,0.61,0.77,1.82,0.86,0.625,62.5,0.621666667,
Cvi-0,25,1,1,0.057,0.39,0.57,1.47,0.9,0.447,44.7,,
Cvi-0,25,1,2,0.042,0.33,0.42,1.63,1.21,0.372,37.2,,
Cvi-0,25,1,3,0.03,0.365,0.54,1.72,1.18,0.395,39.5,,
Cvi-0,25,1,4,0.04,0.325,0.47,1.67,1.2,0.365,36.5,,
Cvi-0,25,1,5,0.01,0.37,0.46,1.76,1.3,0.38,38,,
Cvi-0,25,2,1,0.005,0.4,0.48,1.73,1.25,0.405,40.5,,
Cvi-0,25,2,2,0.02,0.52,0.59,1.71,1.12,0.54,54,,
Cvi-0,25,2,3,0.009,0.571,0.6,1.44,0.84,0.58,58,,
Cvi-0,25,2,4,0.015,0.412,0.58,1.78,1.2,0.427,42.7,,
Cvi-0,25,2,5,0.005,0.47,0.6,2.01,1.41,0.475,47.5,0.531,
er-105,25,1,1,0.1,0.385,0.5,1.54,1.04,0.485,48.5,,
er-105,25,1,2,0.02,0.46,0.555,1.85,1.295,0.48,48,,
er-105,25,1,3,0.01,0.433,0.495,1.59,1.095,0.443,44.3,,
er-105,25,1,4,0.055,0.405,0.6,1.83,1.23,0.46,46,,
er-105,25,1,5,0.005,0.4,0.53,1.93,1.4,0.405,40.5,,
er-105,25,1,6,0.02,0.43,0.5,1.8,1.3,0.45,45,,
er-105,25,2,2,0.005,0.456,0.58,1.75,1.17,0.461,46.1,,
er-105,25,2,3,0.005,0.433,0.72,1.83,1.11,0.438,43.8,,
er-105,25,2,4,0.01,0.48,0.62,1.69,1.07,0.49,49,,
er-105,25,2,5,0.015,0.51,0.62,1.84,1.22,0.525,52.5,,
er-105,25,2,6,0.012,0.53,0.64,1.66,1.02,0.542,54.2,,
er-105,25,3,1,0.005,0.466,0.585,1.96,1.375,0.471,47.1,,
